CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20ze
Beechfield/Ten Hills/West Hills,affordm,42.086649,44.768212,42.086649,42.271715,37.4517,36.562366,36.031332,33.648069,33.530482,35.543199,,
Beechfield/Ten Hills/West Hills,affordr,49.636907,52.055387,43.27044,42.271715,48.3589,45.03367,42.619784,42.915476,43.210361,49.54955,,
Beechfield/Ten Hills/West Hills,age18_,16.707436,,,,,17.757639,16.323207,14.576955,14.713751,13.631059,,
Beechfield/Ten Hills/West Hills,age24_,10.159817,,,,,8.096165,9.276963,9.708013,9.004051,9.515288,,
Beechfield/Ten Hills/West Hills,age5_,6.482387,,,,,7.159976,8.788329,7.9307,8.178552,7.780285,,
Beechfield/Ten Hills/West Hills,age64_,56.188845,,,,,56.381067,55.081085,55.365544,55.178476,56.492648,,
Beechfield/Ten Hills/West Hills,age65_,10.46,,,,,10.605153,10.530416,12.418789,12.92517,12.58072,,
Beechfield/Ten Hills/West Hills,baltvac,,6.666667,3.703704,6.666667,,,,5.714286,5.405405,3.571429,5.0,
Beechfield/Ten Hills/West Hills,constper,,4.76,0.833565,6.112809,0.55371,0.276855,0.277085,0.0,0.0,0.0,0.0,
Beechfield/Ten Hills/West Hills,crime,33.59426,36.121983,36.61122,36.040444,46.559,37.345075,39.546641,44.439008,45.6621,38.568167,30.251142,
Beechfield/Ten Hills/West Hills,dom,102.0,74.0,69.0,53.0,49.0,39.0,35.0,28.0,30.0,20.5,15.0,
Beechfield/Ten Hills/West Hills,domvio,47.863666,44.765166,42.400522,,,,,,,,,
Beechfield/Ten Hills/West Hills,fam,33.628842,,,,,28.843589,28.500092,26.144283,26.536419,26.492186,,
Beechfield/Ten Hills/West Hills,female,6698.0,,,,,,,,,,,
Beechfield/Ten Hills/West Hills,femhhs,51.376684,,,,,48.877147,59.117456,55.18732,62.902073,55.294954,,
Beechfield/Ten Hills/West Hills,fore,2.11,0.95,1.389275,2.973048,2.40864,2.131783,2.188972,1.635255,1.690687,1.385042,0.249307,
Beechfield/Ten Hills/West Hills,hh25inc,21.6,21.716875,18.714042,20.53815,20.0738,20.384835,19.178842,20.418158,19.176783,16.15515,,
Beechfield/Ten Hills/West Hills,hh40inc,18.2,19.190961,19.202777,18.962729,17.5282,17.203277,16.145737,13.900923,14.83308,19.318396,,
Beechfield/Ten Hills/West Hills,hh60inc,21.82,23.449173,23.973497,22.525667,20.2682,20.956373,21.768078,18.176681,17.830046,19.657315,,
Beechfield/Ten Hills/West Hills,hh75inc,10.4,12.296977,10.596696,10.453113,12.9421,12.269004,10.430923,10.868337,12.329287,10.996046,,
Beechfield/Ten Hills/West Hills,hhchpov,,,,,22.309382,19.416892,21.220847,23.916752,21.904105,15.384615,,
Beechfield/Ten Hills/West Hills,hhm75,27.97,23.346014,27.512988,27.520341,29.19,29.186512,32.476419,36.635901,35.830804,33.873094,,
Beechfield/Ten Hills/West Hills,hhpov,,,,,,11.169652,11.589846,10.474907,10.903427,8.822508,,
Beechfield/Ten Hills/West Hills,hhs,5076.0,,,,,,,,,5311.0,,
Beechfield/Ten Hills/West Hills,juvarr,,19.726859,31.107739,19.726859,12.139605,3.793627,,,,,,
Beechfield/Ten Hills/West Hills,juvdrug,,4.552352,7.587253,2.276176,3.793627,0.0,,,,,,
Beechfield/Ten Hills/West Hills,juvviol,,7.587253,9.863429,3.793627,1.517451,0.758725,,,,,,
Beechfield/Ten Hills/West Hills,male,5566.0,,,,,,,,,,,
Beechfield/Ten Hills/West Hills,mhhi,50780.92,50439.739513,50135.121622,49807.861765,52622.688525,51537.582075,53565.079698,57572.502747,58055.306613,55017.77971,,
Beechfield/Ten Hills/West Hills,ownroc,83.0,79.47,81.022506,80.772437,78.654485,78.654485,77.251316,77.217295,77.217295,75.512465,75.512465,
Beechfield/Ten Hills/West Hills,p2more,1.541096,,,,,2.366687,3.059273,3.308192,3.24849,2.847584,3.401473,
Beechfield/Ten Hills/West Hills,paa,78.864971,,,,,78.078191,78.662984,75.319244,76.672017,77.989574,74.906894,
Beechfield/Ten Hills/West Hills,pasi,0.839856,,,,,0.838826,0.431981,0.418191,0.512115,0.513499,1.489696,
Beechfield/Ten Hills/West Hills,phisp,1.59002,,,,,2.838526,1.621698,,2.155469,1.213724,3.732517,
Beechfield/Ten Hills/West Hills,phsip,,,,,,,,1.784781,,,,
Beechfield/Ten Hills/West Hills,ppac,0.383235,,,,,0.434392,0.566532,0.313643,0.412749,0.53684,0.736572,
Beechfield/Ten Hills/West Hills,prop,,28.94651,29.598826,28.701892,38.7312,28.94651,30.577299,32.615786,33.349641,29.598826,20.629485,
Beechfield/Ten Hills/West Hills,pwhite,16.780822,,,,,15.443379,15.657531,18.855948,16.999159,16.898778,15.732848,
Beechfield/Ten Hills/West Hills,racdiv,36.232305,,,,,39.162063,36.792711,41.017612,40.298869,37.429744,,
Beechfield/Ten Hills/West Hills,reosa,,38.46,8.955224,3.225806,1.694915,2.380952,1.204819,0.462963,16.167665,9.803922,7.361963,
Beechfield/Ten Hills/West Hills,resrehab,1.94,3.13,1.778272,2.361767,2.602436,2.27021,2.798559,3.85255,4.129712,3.45759,3.767313,
Beechfield/Ten Hills/West Hills,salepr,142250.0,120000.0,144501.0,139500.0,130000.0,126000.0,118450.0,139950.0,159450.0,149000.0,,
Beechfield/Ten Hills/West Hills,shomes,72.0,84.0,64.0,62.0,117.0,102.0,178.0,174.0,204.0,238.0,,
Beechfield/Ten Hills/West Hills,shoot,,2.038487,1.141553,,,2.201566,1.223092,0.326158,0.978474,1.712329,1.793868,
Beechfield/Ten Hills/West Hills,totalres,3557.0,3575.0,3599.0,3599.0,3612.0,3612.0,3609.0,3608.0,3608.0,3610.0,3610.0,
Beechfield/Ten Hills/West Hills,tpop,12264.0,,,,,,,,,,12083.0,
