CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Beechfield/Ten Hills/West Hills,nohhint,,,,,,,,27.481635,26.877845,21.257767,,
Beechfield/Ten Hills/West Hills,novhcl,,18.275664,16.040294,18.840864,19.1605,21.146885,19.419271,18.515728,20.049317,15.289023,,
Beechfield/Ten Hills/West Hills,numbus,154.0,136.0,141.0,174.0,150.0,139.0,125.0,127.0,129.0,117.0,,
Beechfield/Ten Hills/West Hills,palg1,,,,,,7.59494,13.2653,7.52688,,,,
Beechfield/Ten Hills/West Hills,palg2,,,,,,3.77358,9.43396,10.7527,,,,
Beechfield/Ten Hills/West Hills,pmath3,,,,,,15.3846,21.8182,19.3798,,,,
Beechfield/Ten Hills/West Hills,pmath5,,,,,,9.25926,9.70874,16.9492,,,,
Beechfield/Ten Hills/West Hills,pmath8,,,,,,3.33333,12.0,6.45161,,,,
Beechfield/Ten Hills/West Hills,prbprl,,,,3.673036,,,,,,,,
Beechfield/Ten Hills/West Hills,pread3,,,,,,27.3504,5.45455,16.3934,,,,
Beechfield/Ten Hills/West Hills,pread5,,,,,,15.7407,12.5,14.5455,,,,
Beechfield/Ten Hills/West Hills,pread8,,,,,,20.7207,22.8571,14.5455,,,,
Beechfield/Ten Hills/West Hills,pubtran,,14.875895,13.175676,11.348837,11.3572,13.393619,10.962145,10.474528,11.031362,9.880466,,
Beechfield/Ten Hills/West Hills,regvote,79.734607,,81.581741,,85.605096,,87.685776,,90.138004,,,
Beechfield/Ten Hills/West Hills,smlbus,148.0,130.0,134.0,166.0,141.0,129.0,115.0,118.0,119.0,106.0,,
Beechfield/Ten Hills/West Hills,trees,,48.825457,,,,,,48.696974,,,,
Beechfield/Ten Hills/West Hills,voted,52.6,,61.878981,,43.12996,,59.299363,,52.467318,,,
Beechfield/Ten Hills/West Hills,walked,,0.982842,1.706081,1.693023,1.67018,1.620884,1.892744,1.444215,1.794352,2.118323,,
Beechfield/Ten Hills/West Hills,wlksc,,32.532967,,,,,,39.359,,,,
Belair-Edison,CSA2010,,,,,,,,,,,,Belair-Edison
Belair-Edison,arrest,,,,,41.597731,20.798866,19.866789,,,,,
Belair-Edison,banks,,0.172255,0.114837,0.114837,0.172255,0.114837,0.114837,0.114837,0.057418,0.057418,,
Belair-Edison,biz1_,8.888889,12.053571,7.569721,4.651163,4.64135,6.25,2.73224,5.960265,6.547619,8.522727,,
Belair-Edison,biz2_,22.666667,18.75,23.505976,16.27907,11.8143,12.083333,13.661202,17.880795,13.690476,15.340909,,
Belair-Edison,biz4_,31.555556,31.25,38.645418,39.922481,43.038,23.0,20.218579,22.516556,20.238095,21.590909,,
Belair-Edison,bkln,,,0.211352,,,,,,,,2.776037,
Belair-Edison,busload,,,,,,,,356.282,385.19,,,
Belair-Edison,clogged,4.076711,6.143776,3.847037,5.052825,2.756086,1.607717,2.583831,2.928342,3.272853,2.698668,2.641249,
Belair-Edison,cmos,,6.0,,,11.0,,,,,,,
Belair-Edison,comprop,165.0,165.0,165.0,164.0,163.0,163.0,166.0,164.0,164.0,163.0,,
Belair-Edison,crehab,8.484848,10.909091,8.484848,6.707317,9.202454,7.361963,4.819277,15.853659,9.146342,7.97546,,
Belair-Edison,dirtyst,90.20441,66.318328,79.065227,65.916399,64.423519,103.640331,74.931098,76.423978,58.624254,85.151585,64.768029,
Belair-Edison,elheat,,11.432483,11.239585,15.213327,14.2516,12.495773,12.922297,13.822076,12.222222,16.108612,,
Belair-Edison,hcvhouse,,,,,420.323326,420.936396,389.319201,373.605233,372.808726,422.330097,,
Belair-Edison,heatgas,,69.519083,71.841524,69.862315,73.5595,76.208996,77.347973,76.326194,76.683007,72.04731,,
Belair-Edison,hfai,,,10.326087,,,8.227273,,,,,,
Belair-Edison,kra,,,,,,,41.836735,41.397849,,,,
Belair-Edison,nohhint,,,,,,,,26.688633,21.519608,17.457938,,
Belair-Edison,novhcl,,24.268355,27.155246,27.740948,29.3215,29.083531,32.094595,34.645799,34.084967,29.935032,,
Belair-Edison,numbus,225.0,224.0,251.0,258.0,237.0,240.0,183.0,151.0,168.0,176.0,,
Belair-Edison,palg1,,,,,,5.40541,9.72222,5.88235,,,,
Belair-Edison,palg2,,,,,,5.0,1.79641,4.14201,,,,
Belair-Edison,pmath3,,,,,,16.0194,8.62069,15.2381,,,,
Belair-Edison,pmath5,,,,,,5.60748,8.29268,10.0,,,,
Belair-Edison,pmath8,,,,,,6.13208,4.6875,1.3986,,,,
Belair-Edison,prbprl,,,,6.838415,,,,,,,,
Belair-Edison,pread3,,,,,,16.4251,5.15021,14.554,,,,
Belair-Edison,pread5,,,,,,7.98122,3.9604,7.59494,,,,
Belair-Edison,pread8,,,,,,8.96861,14.1463,7.59494,,,,
Belair-Edison,pubtran,,16.179048,16.323469,17.552061,18.8751,18.680601,23.904576,29.221093,28.567002,24.654239,,
Belair-Edison,regvote,81.706452,,83.242732,,83.943906,,87.307966,,89.151501,,,
Belair-Edison,smlbus,217.0,217.0,244.0,245.0,224.0,228.0,175.0,141.0,159.0,161.0,,
Belair-Edison,trees,,20.358073,,,,,,20.827125,,,,
Belair-Edison,voted,46.6,,59.796738,,36.339747,,52.328055,,42.797808,,,
Belair-Edison,walked,,2.345962,2.727397,2.620768,2.91915,2.106466,2.255761,1.064344,1.254841,1.097414,,
Belair-Edison,wlksc,,62.322581,,,,,,67.667,,,,
Brooklyn/Curtis Bay/Hawkins Point,CSA2010,,,,,,,,,,,,Brooklyn/Curtis Bay/Hawkins Point
Brooklyn/Curtis Bay/Hawkins Point,arrest,,,,,94.117647,55.490196,44.232254,,,,,
Brooklyn/Curtis Bay/Hawkins Point,banks,,0.14042,0.14042,0.14042,0.14042,0.14042,0.14042,0.14042,0.14042,,,
Brooklyn/Curtis Bay/Hawkins Point,biz1_,2.735562,7.487923,6.940063,5.30303,5.50661,5.908096,4.5,2.623907,4.469274,4.057971,,
Brooklyn/Curtis Bay/Hawkins Point,biz2_,10.942249,14.975845,14.826498,23.484848,13.8767,12.035011,13.5,18.367347,14.24581,9.275362,,
Brooklyn/Curtis Bay/Hawkins Point,biz4_,21.884498,30.676329,23.028391,41.856061,39.8678,31.0,24.5,27.696793,22.067039,17.101449,,
Brooklyn/Curtis Bay/Hawkins Point,bkln,,,3.240965,,,,,,,,1.824821,
Brooklyn/Curtis Bay/Hawkins Point,busload,,,,,,,,384.68,411.359,,,
Brooklyn/Curtis Bay/Hawkins Point,clogged,4.212596,5.757214,5.476374,4.423225,5.406164,3.019027,1.755248,7.372042,4.563645,3.861546,6.108264,
Brooklyn/Curtis Bay/Hawkins Point,cmos,,7.0,,,1.0,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,comprop,880.0,838.0,856.0,828.0,757.0,757.0,758.0,757.0,757.0,755.0,,
Brooklyn/Curtis Bay/Hawkins Point,crehab,5.227273,7.398568,13.668224,7.246377,5.680317,6.340819,5.540897,4.095112,5.416116,5.562914,,
Brooklyn/Curtis Bay/Hawkins Point,dirtyst,91.483536,112.055045,82.847715,65.997332,81.373306,91.062276,71.052447,82.286035,63.680404,160.429685,102.506494,
Brooklyn/Curtis Bay/Hawkins Point,elheat,,20.033216,23.003386,27.372549,28.7677,29.788508,31.234414,32.074624,29.223012,27.421824,,
