CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Beechfield/Ten Hills/West Hills,abse,6.445993,17.928903,9.9174,12.0462,11.0561,11.041,11.8721,15.325077,,19.503546,
Beechfield/Ten Hills/West Hills,abshs,29.94129,31.395349,29.1498,23.6686,29.8901,33.484163,27.790974,44.075829,,46.29156,
Beechfield/Ten Hills/West Hills,absmd,11.74785,11.111111,10.2703,10.0264,7.438,15.71,11.2462,16.716418,,21.666667,
Beechfield/Ten Hills/West Hills,artevnt,,,,,0.163079,0.407697,0.244618,0.489237,0.163079,0.163079,0.0
Beechfield/Ten Hills/West Hills,bahigher,,22.489333,22.345315,23.854776,24.31,24.597496,22.946573,24.63369,24.365881,24.836675,
Beechfield/Ten Hills/West Hills,birthwt,91.666667,90.588235,90.055249,85.620915,85.875706,86.805556,88.0,88.405797,92.753623,89.032258,
Beechfield/Ten Hills/West Hills,caracc,,31.881931,29.843444,,,44.357469,50.065232,52.592955,53.082192,45.6621,37.834312
Beechfield/Ten Hills/West Hills,caslt,,51.206784,50.554468,,,42.808219,47.21135,48.026745,43.215917,34.246575,35.225049
Beechfield/Ten Hills/West Hills,compl,85.86957,80.34,82.05128,89.2562,89.423077,86.792453,86.111111,68.0,,78.0,78.571429
Beechfield/Ten Hills/West Hills,drop,1.956947,1.937984,2.964427,1.183432,1.758242,2.036199,1.187649,1.895735,,2.30179,0.831025
Beechfield/Ten Hills/West Hills,ebll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Beechfield/Ten Hills/West Hills,empl,63.566667,62.049593,66.855833,62.841405,64.0085,64.689791,66.19954,68.402932,71.619289,74.905249,
Beechfield/Ten Hills/West Hills,farms,76.264591,77.78,69.58,79.129924,,,,,,,
Beechfield/Ten Hills/West Hills,fastfd,,,,,,,,,,0.57,
Beechfield/Ten Hills/West Hills,gunhom,,0.244618,0.163079,0.0,0.08154,0.407697,0.081539,0.081539,0.163079,0.489237,0.489237
Beechfield/Ten Hills/West Hills,hsaalg,24.603175,22.727273,28.07,33.529412,40.909091,,,,,,
Beechfield/Ten Hills/West Hills,hsabio,47.567568,41.317365,45.91,50.282486,58.730159,,,,,,
Beechfield/Ten Hills/West Hills,hsaeng,43.575419,37.125749,36.78,44.571429,59.821429,,,,,,
Beechfield/Ten Hills/West Hills,hsagov,60.122699,52.348993,,53.932584,68.0,,,,,,
Beechfield/Ten Hills/West Hills,hsattend,511.0,516.0,494.0,507.0,455.0,442.0,421.0,422.0,,391.0,361.0
Beechfield/Ten Hills/West Hills,hstud,0.648508,1.16,1.06,1.53,1.33,2.4165,2.914,2.56593,,4.780876,4.987735
Beechfield/Ten Hills/West Hills,lesshs,,13.453299,14.15439,12.743665,13.97,12.83542,11.138694,9.782968,9.057239,7.039874,
Beechfield/Ten Hills/West Hills,libcard,,153.212655,153.131115,140.410959,249.510763,261.986301,225.782779,178.082192,175.391389,167.482061,
Beechfield/Ten Hills/West Hills,lifexp,,74.084873,74.728654,75.422805,75.36281,74.692593,74.252228,73.4,73.138086,,
Beechfield/Ten Hills/West Hills,liquor,,0.163079,0.081539,0.081539,0.081539,0.081539,0.081539,0.08154,0.081539,0.081539,
Beechfield/Ten Hills/West Hills,math3,76.699029,75.93,73.55,76.99115,48.275862,,,,,,
Beechfield/Ten Hills/West Hills,math5,79.787234,63.24,74.59,71.910112,51.401869,,,,,,
Beechfield/Ten Hills/West Hills,math8,29.166667,39.6,39.84,42.857143,30.327869,,,,,,
Beechfield/Ten Hills/West Hills,mort1_,,12.752391,11.789925,14.739229,9.291521,8.363202,9.638554,8.894536,6.476684,,
Beechfield/Ten Hills/West Hills,narc,,24.706458,32.615786,,,21.689498,35.958904,38.568167,48.271363,24.46184,29.109589
Beechfield/Ten Hills/West Hills,nilf,21.739603,30.133669,23.234748,26.405784,24.2822,25.407594,25.674545,25.844069,23.316837,22.522109,
Beechfield/Ten Hills/West Hills,overd,,,,,,,,,2.038487,3.913894,2.201566
Beechfield/Ten Hills/West Hills,prenatal,64.285714,67.058824,62.983425,49.019608,58.757062,43.055556,53.142857,60.869565,55.797101,67.096774,
Beechfield/Ten Hills/West Hills,publart,,,,,,0.489237,0.489237,0.489237,0.489237,0.489237,0.489237
Beechfield/Ten Hills/West Hills,read3,69.902913,69.16,73.77,73.451327,60.909091,,,,,,
Beechfield/Ten Hills/West Hills,read5,88.297872,78.68,80.33,82.022472,82.242991,,,,,,
Beechfield/Ten Hills/West Hills,read8,56.666667,77.0,66.67,75.238095,61.290323,,,,,,
Beechfield/Ten Hills/West Hills,ready,,44.23,71.79,82.352941,,,,,,,
Beechfield/Ten Hills/West Hills,sclemp,76.669802,82.80543,81.115108,76.406926,74.688279,66.544118,71.592092,72.541966,66.802168,65.406977,
Beechfield/Ten Hills/West Hills,sclsw,,5.085865,5.589226,5.428954,5.92145,5.643204,6.112296,,,4.291553,3.547067
Beechfield/Ten Hills/West Hills,sped,12.710765,12.87703,13.97,14.285714,,,,,,,
Beechfield/Ten Hills/West Hills,susp,7.85124,7.941989,9.631148,4.892761,,,,,,,
Beechfield/Ten Hills/West Hills,tanf,,4.528061,5.803571,4.846939,5.44051,4.6875,4.655612,3.858418,3.125,4.719388,
Beechfield/Ten Hills/West Hills,teenbir,42.780749,21.390374,42.780749,29.411765,18.716578,37.433155,42.780749,16.042781,34.759358,32.085561,
Beechfield/Ten Hills/West Hills,termbir,87.5,90.588235,89.502762,83.660131,85.875706,80.555556,86.857143,87.681159,92.028986,92.258065,
Beechfield/Ten Hills/West Hills,unempl,6.037572,7.409919,10.138601,10.752812,11.5747,9.902615,9.035767,5.752999,5.063874,2.572643,
Beechfield/Ten Hills/West Hills,unempr,7.714722,10.667968,13.279017,14.642913,15.3138,11.762412,12.157028,7.757975,6.603632,3.320486,
Beechfield/Ten Hills/West Hills,wstud,2.140078,2.49,2.48,2.88,2.74,2.84,2.7,4.918033,,4.143426,3.843009
Belair-Edison,Fastfd,,0.976114,,0.861277,,,,,0.631603,,
Belair-Edison,aastud,96.91592,97.01,96.67,96.13,96.71,96.29,95.52,94.775542,,94.307944,94.685598
Belair-Edison,abse,14.02754,18.936342,16.7802,16.275,18.5714,19.9477,21.0526,19.964349,,27.729469,
Belair-Edison,abshs,41.09926,43.972835,41.4742,34.4673,37.4879,39.893048,36.487907,49.886878,,51.889169,
Belair-Edison,absmd,12.39471,13.065977,14.8794,8.8235,12.1986,14.8872,15.6398,19.896194,,25.611746,
Belair-Edison,artevnt,,,,,0.459348,0.689022,1.148369,0.574185,1.148369,0.689022,0.229674
Belair-Edison,bahigher,,11.239109,14.012858,15.366738,15.34,17.374329,18.601105,16.653046,17.231512,15.779519,
Belair-Edison,birthwt,87.704918,84.462151,83.834586,86.956522,87.711864,86.808511,83.076923,82.352941,83.838384,80.851064,
Belair-Edison,caracc,,45.418006,46.107028,,,60.231971,66.60542,69.763436,62.586128,66.375746,56.384933
Belair-Edison,caslt,,77.629766,81.476803,,,65.227377,68.959577,66.490583,59.198438,53.858521,49.954065
Belair-Edison,compl,82.85714,79.91,77.39464,82.18623,81.568627,80.0,84.234234,79.5,,82.608696,81.642512
Belair-Edison,drop,4.019688,4.159592,3.809524,2.327663,1.932367,3.315508,3.575184,4.298642,,3.778338,0.75662
Belair-Edison,ebll,7.5,1.953125,1.404494,,0.0,,0.0,,0.0,,
Belair-Edison,empl,54.55,58.085734,62.33395,61.873201,58.0907,55.44857,55.412811,54.62251,54.771397,57.789729,
Belair-Edison,farms,85.539715,84.39,78.76,86.013573,,,,,,,
Belair-Edison,fastfd,,,,,,,,,,0.63,
Belair-Edison,gunhom,,0.344511,0.287092,0.459348,0.287092,0.516766,0.574185,0.516766,0.459348,0.344511,0.401929
Belair-Edison,hsaalg,22.972973,18.708241,18.58,21.345708,34.343434,,,,,,
Belair-Edison,hsabio,36.931818,33.69863,32.68,36.253041,49.792531,,,,,,
Belair-Edison,hsaeng,32.48731,33.420366,32.23,30.594901,52.04918,,,,,,
Belair-Edison,hsagov,39.010989,40.703518,,41.935484,63.243243,,,,,,
Belair-Edison,hsattend,1219.0,1178.0,1126.0,1117.0,1035.0,935.0,951.0,884.0,,794.0,793.0
Belair-Edison,hstud,0.290951,0.69,1.18,1.56,1.12,1.6376,2.1145,2.244582,,2.457002,2.312373
Belair-Edison,lesshs,,22.9524,18.829777,18.676211,17.08,12.659834,13.331427,16.880051,15.452025,14.770783,
Belair-Edison,libcard,,319.418925,310.289389,261.311438,443.959577,463.71153,401.067983,337.792834,343.706936,333.486449,
Belair-Edison,lifexp,,71.540875,72.54784,72.130244,72.928686,72.00461,71.441558,70.5,70.068774,,
Belair-Edison,liquor,,0.803859,0.689022,0.516766,0.401929,0.459348,0.401929,0.401929,0.631603,0.574185,
Belair-Edison,math3,76.886792,68.12,70.42,60.0,39.361702,,,,,,
Belair-Edison,math5,74.761905,60.27,70.09,59.911894,37.18593,,,,,,
Belair-Edison,math8,30.604982,44.76,38.04,38.596491,21.296296,,,,,,
Belair-Edison,mort1_,,21.292217,14.958863,14.263074,10.842369,10.084034,9.657594,6.603774,7.611798,,
Belair-Edison,narc,,50.241158,53.858521,,,24.919614,35.886541,48.633441,53.858521,51.217271,39.963252
